cod_jugador,nombre,cod_equipo,pierna,altura,pais,codigo_fifa
64,Manuel Neuer,3,Right,"193cm / 6'4""",Germany,167495
65,Hakan Çalhanoğlu,7,Right,"178cm / 5'10""",Turkey,208128
66,David Alaba,1,Left,"180cm / 5'11""",Austria,197445
67,Ronald Araujo,8,Right,"188cm / 6'2""",Uruguay,253163
68,Julian Brandt,12,Right,"185cm / 6'1""",Germany,212194
69,Éder Militão,1,Right,"186cm / 6'1""",Brazil,240130
70,Bruno Guimarães,24,Right,"182cm / 6'0""",Brazil,247851
71,Alexander Isak,24,Right,"192cm / 6'4""",Sweden,233731
72,N'Golo Kanté,21,Right,"168cm / 5'6""",France,215914
73,Jules Koundé,8,Right,"180cm / 5'11""",France,241486
74,Khvicha Kvaratskhelia,13,Right,"183cm / 6'0""",Georgia,247635
75,Vitinha,5,Right,"172cm / 5'8""",Portugal,255253
76,James Maddison,18,Right,"175cm / 5'9""",England,220697
77,Riyad Mahrez,25,Left,"179cm / 5'10""",Algeria,204485
78,Giorgi Mamardashvili,26,Left,"199cm / 6'6""",Georgia,262621
79,Mikel Merino,4,Left,"189cm / 6'2""",Spain,225193
80,Sergej Milinković-Savić,16,Right,"192cm / 6'4""",Serbia,223848
81,Loïs Openda,27,Right,"177cm / 5'10""",Belgium,243580
82,Palhinha,3,Right,"190cm / 6'3""",Portugal,229391
83,Cole Palmer,28,Left,"189cm / 6'2""",England,257534
84,Andrew Robertson,6,Left,"178cm / 5'10""",Scotland,216267
85,Leroy Sané,3,Left,"183cm / 6'0""",Germany,222492
86,Nico Schlotterbeck,12,Left,"191cm / 6'3""",Germany,247819
87,John Stones,2,Right,"188cm / 6'2""",England,203574
88,Aurélien Tchouaméni,1,Right,"188cm / 6'2""",France,241637
89,Diogo Jota,6,Right,"178cm / 5'10""",Portugal,224458
90,Sandro Tonali,24,Right,"181cm / 5'11""",Italy,241096
91,Ollie Watkins,19,Right,"180cm / 5'11""",England,221697
92,Nico Williams,23,Right,"181cm / 5'11""",Spain,256516
93,Francesco Acerbi,7,Left,"192cm / 6'4""",Italy,199845
94,Manuel Akanji,2,Right,"187cm / 6'2""",Switzerland,229237
95,Nathan Aké,2,Left,"180cm / 5'11""",Holland,208920
96,Julián Álvarez,10,Right,"170cm / 5'7""",Argentina,246191
97,Iago Aspas,29,Left,"176cm / 5'9""",Spain,192629
98,Yassine Bounou,16,Left,"195cm / 6'5""",Morocco,209981
99,Federico Chiesa,6,Right,"175cm / 5'9""",Italy,235805
100,Kingsley Coman,3,Right,"181cm / 5'11""",France,213345
101,Rúben Neves,16,Right,"180cm / 5'11""",Portugal,224293
102,Matthijs de Ligt,17,Right,"189cm / 6'2""",Holland,235243
103,Rodrigo De Paul,10,Right,"180cm / 5'11""",Argentina,212616
104,Raphinha,8,Left,"176cm / 5'9""",Brazil,233419
105,Luis Díaz,6,Right,"180cm / 5'11""",Colombia,241084
106,Federico Dimarco,7,Left,"174cm / 5'9""",Italy,226268
107,Artem Dovbyk,14,Left,"189cm / 6'2""",Ukraine,242458
108,Jeremie Frimpong,11,Right,"172cm / 5'8""",Holland,253149
109,Aleix García,11,Right,"173cm / 5'8""",Spain,228813
110,Jack Grealish,2,Right,"180cm / 5'11""",England,206517
111,Serhou Guirassy,12,Right,"187cm / 6'2""",Guinea,215441
112,Viktor Gyökeres,30,Right,"187cm / 6'2""",Sweden,241651
113,Achraf Hakimi,5,Right,"181cm / 5'11""",Morocco,235212
114,Lukáš Hrádecký,11,Right,"192cm / 6'4""",Finland,190941
115,Kalidou Koulibaly,16,Right,"186cm / 6'1""",Senegal,201024
116,Sadio Mané,20,Right,"174cm / 5'9""",Senegal,208722
117,Lisandro Martínez,17,Left,"178cm / 5'10""",Argentina,239301
118,Diogo Costa,31,Right,"192cm / 6'4""",Portugal,234577
119,Ferland Mendy,1,Left,"180cm / 5'11""",France,228618
120,Christopher Nkunku,28,Right,"177cm / 5'10""",France,232411
121,Dani Olmo,8,Right,"179cm / 5'10""",Spain,244260
122,Exequiel Palacios,11,Right,"178cm / 5'10""",Argentina,231521
123,Benjamin Pavard,7,Right,"186cm / 6'1""",France,226851
124,Álex Remiro,32,Right,"192cm / 6'4""",Spain,227127
125,Cristian Romero,18,Right,"185cm / 6'1""",Argentina,232488
126,Marcel Sabitzer,12,Right,"178cm / 5'10""",Austria,204923
127,Casemiro,17,Right,"185cm / 6'1""",Brazil,200145
128,Guglielmo Vicario,18,Right,"194cm / 6'4""",Italy,240091
129,Dušan Vlahović,22,Left,"190cm / 6'3""",Serbia,246430
130,Kyle Walker,2,Right,"183cm / 6'0""",England,188377
131,Benjamin White,4,Right,"185cm / 6'1""",England,231936
132,Marcos Acuña,33,Left,"172cm / 5'8""",Argentina,224334
133,Robert Andrich,11,Right,"186cm / 6'1""",Germany,212242
134,Ismaël Bennacer,15,Left,"175cm / 5'9""",Algeria,226754
135,Domenico Berardi,34,Left,"183cm / 6'0""",Italy,210935
136,Eduardo Camavinga,1,Left,"182cm / 6'0""",France,248243
137,Yannick Carrasco,35,Right,"181cm / 5'11""",Belgium,208418
138,Andreas Christensen,8,Right,"187cm / 6'2""",Denmark,213661
139,Stefan de Vrij,7,Right,"189cm / 6'2""",Holland,198176
140,Ángel Di María,36,Left,"180cm / 5'11""",Argentina,183898
141,Moussa Diaby,21,Left,"170cm / 5'7""",France,241852
142,Youssef En-Nesyri,37,Left,"188cm / 6'2""",Morocco,235410
143,Rafa,38,Right,"172cm / 5'8""",Portugal,216547
144,Cody Gakpo,6,Right,"189cm / 6'2""",Holland,242516
145,José María Giménez,10,Right,"185cm / 6'1""",Uruguay,216460
146,Olivier Giroud,39,Left,"193cm / 6'4""",France,178509
147,Leon Goretzka,3,Right,"189cm / 6'2""",Germany,209658
148,Joško Gvardiol,2,Left,"185cm / 6'1""",Croatia,251517
149,Kai Havertz,4,Left,"193cm / 6'4""",Germany,235790
150,Lucas Hernández,5,Left,"184cm / 6'0""",France,220814
151,Mauro Icardi,40,Right,"181cm / 5'11""",Argentina,201399
152,Kim Min Jae,3,Right,"190cm / 6'3""",Korea Republic,237086
153,Ibrahima Konaté,6,Right,"194cm / 6'4""",France,237678
154,Teun Koopmeiners,22,Left,"183cm / 6'0""",Holland,240679
155,Mateo Kovačić,2,Right,"177cm / 5'10""",Croatia,207410
156,Konrad Laimer,3,Right,"180cm / 5'11""",Austria,225375
157,Aymeric Laporte,20,Left,"189cm / 6'2""",Spain,212218
158,Robin Le Normand,10,Right,"187cm / 6'2""",Spain,233486
159,Marcos Llorente,10,Right,"184cm / 6'0""",Spain,226161
160,Manuel Locatelli,22,Right,"185cm / 6'1""",Italy,222077
161,Donyell Malen,12,Right,"176cm / 5'9""",Holland,231447
162,Gabriel Martinelli,4,Right,"178cm / 5'10""",Brazil,251566
163,Henrikh Mkhitaryan,7,Right,"177cm / 5'10""",Armenia,192883
164,Morata,15,Right,"190cm / 6'3""",Spain,201153
165,Gerard Moreno,41,Left,"180cm / 5'11""",Spain,208093
166,André Onana,17,Right,"190cm / 6'3""",Cameroon,226753
167,Willi Orban,27,Right,"186cm / 6'1""",Hungary,204638
168,Gavi,8,Right,"173cm / 5'8""",Spain,264240
169,Parejo,41,Right,"182cm / 6'0""",Spain,189513
170,Lorenzo Pellegrini,14,Right,"186cm / 6'1""",Italy,228251
171,Pedro Gonçalves,30,Right,"173cm / 5'8""",Portugal,240950
172,Jordan Pickford,42,Left,"185cm / 6'1""",England,204935
173,Nick Pope,24,Right,"199cm / 6'6""",England,203841
174,Pedro Porro,18,Right,"173cm / 5'8""",Spain,243576
175,Ivan Provedel,43,Right,"192cm / 6'4""",Italy,224987
176,Christian Pulisic,15,Right,"177cm / 5'10""",United States,227796
177,David Raya,4,Right,"183cm / 6'0""",Spain,220901
178,Koke,10,Right,"176cm / 5'9""",Spain,193747
179,Guido Rodríguez,44,Right,"185cm / 6'1""",Argentina,225659
180,Alessio Romagnoli,43,Left,"185cm / 6'1""",Italy,210413
181,Xavi Simons,27,Right,"179cm / 5'10""",Holland,245367
182,Douglas Luiz,22,Right,"175cm / 5'9""",Brazil,236499
183,Dušan Tadić,37,Left,"181cm / 5'11""",Serbia,199434
184,Edmond Tapsoba,11,Right,"192cm / 6'4""",Burkina Faso,247263
185,Nuno Mendes,5,Left,"180cm / 5'11""",Portugal,252145
186,Marcus Thuram,7,Right,"192cm / 6'4""",France,228093
187,Fikayo Tomori,15,Right,"185cm / 6'1""",England,232756
188,Lucas Torreira,40,Right,"166cm / 5'5""",Uruguay,223959
189,Kieran Trippier,24,Right,"173cm / 5'8""",England,186345
190,Leandro Trossard,4,Right,"171cm / 5'7""",Belgium,207421
191,Viktor Tsygankov,45,Left,"178cm / 5'10""",Ukraine,244369
192,Mattia Zaccagni,43,Right,"177cm / 5'10""",Italy,220502
193,Duván Zapata,46,Right,"188cm / 6'2""",Colombia,215333
194,Isco,47,Right,"176cm / 5'9""",Spain,197781
195,Joelinton,24,Right,"186cm / 6'1""",Brazil,223334
196,Pepê,31,Right,"173cm / 5'8""",Brazil,238896
197,Pierre-Emerick Aubameyang,48,Right,"187cm / 6'2""",Gabon,188567
198,Leon Bailey,19,Left,"178cm / 5'10""",Jamaica,229906
199,Oliver Baumann,49,Right,"187cm / 6'2""",Germany,193698
200,Victor Boniface,11,Right,"190cm / 6'3""",Nigeria,247679
201,Sven Botman,24,Left,"193cm / 6'4""",Holland,251809
202,Jarrod Bowen,44,Left,"175cm / 5'9""",England,224371
203,Marcelo Brozović,20,Right,"181cm / 5'11""",Croatia,216352
204,Moisés Caicedo,28,Right,"178cm / 5'10""",Ecuador,256079
205,Emre Can,12,Right,"186cm / 6'1""",Germany,208333
206,Marco Carnesecchi,50,Right,"191cm / 6'3""",Italy,252154
207,Koen Casteels,48,Left,"197cm / 6'6""",Belgium,192984
208,Lucas Paquetá,44,Left,"180cm / 5'11""",Brazil,233927
209,Ángel Correa,10,Right,"171cm / 5'7""",Argentina,214997
210,Marc Cucurella,28,Left,"173cm / 5'8""",Spain,239231
211,Danilo,22,Right,"184cm / 6'0""",Brazil,199304
212,Otávio,20,Right,"171cm / 5'7""",Portugal,210411
213,Diogo Dalot,17,Right,"183cm / 6'0""",Portugal,234574
214,Sergi Darder,51,Right,"180cm / 5'11""",Spain,202648
215,Alphonso Davies,3,Left,"185cm / 6'1""",Canada,234396
216,Giovanni Di Lorenzo,13,Right,"183cm / 6'0""",Italy,217870
217,Brahim,1,Right,"170cm / 5'7""",Morocco,231410
218,Denzel Dumfries,7,Right,"188cm / 6'2""",Holland,233096
219,Edin Džeko,37,Right,"193cm / 6'4""",Bosnia and Herzegovina,180930
220,Enzo Fernández,28,Right,"178cm / 5'10""",Argentina,247090
221,Nacho Fernández,48,Right,"180cm / 5'11""",Spain,200724
222,Gabriel Jesus,4,Right,"175cm / 5'9""",Brazil,230666
223,Jorginho,4,Right,"178cm / 5'10""",Italy,205498
224,Pau Torres,19,Left,"191cm / 6'3""",Spain,241464
225,Niclas Füllkrug,44,Right,"188cm / 6'2""",Germany,205431
226,Gayà,26,Left,"172cm / 5'8""",Spain,211688
227,Paulo Gazzaniga,45,Right,"196cm / 6'5""",Argentina,205186
228,Matthias Ginter,52,Right,"189cm / 6'2""",Germany,207862
229,Serge Gnabry,3,Right,"176cm / 5'9""",Germany,206113
230,Anthony Gordon,24,Right,"183cm / 6'0""",England,242964
231,Raphaël Guerreiro,3,Left,"170cm / 5'7""",Portugal,209889
232,Péter Gulácsi,27,Right,"191cm / 6'3""",Hungary,185122
233,Fabinho,21,Right,"188cm / 6'2""",Brazil,209499
234,Yangel Herrera,45,Right,"184cm / 6'0""",Venezuela,234060
235,Jonas Hofmann,11,Right,"176cm / 5'9""",Germany,210324
236,Ciro Immobile,38,Right,"185cm / 6'1""",Italy,192387
237,Reece James,28,Right,"179cm / 5'10""",England,238074
238,Boubacar Kamara,19,Right,"184cm / 6'0""",France,236987
239,Franck Yannick Kessié,25,Right,"183cm / 6'0""",Côte d'Ivoire,230938
240,Randal Kolo Muani,5,Right,"187cm / 6'2""",France,237679
241,Filip Kostić,22,Left,"184cm / 6'0""",Serbia,208574
242,Mohammed Kudus,44,Left,"177cm / 5'10""",Ghana,245155
243,Dejan Kulusevski,18,Left,"186cm / 6'1""",Sweden,247394
244,Alexandre Lacazette,53,Right,"175cm / 5'9""",France,193301
245,Jeremías Conan Ledesma,33,Right,"186cm / 6'1""",Argentina,219522
246,Bernd Leno,54,Right,"189cm / 6'2""",Germany,192563
247,Stanislav Lobotka,13,Right,"170cm / 5'7""",Slovakia,216435
248,Ademola Lookman,50,Right,"174cm / 5'9""",Nigeria,230899
249,Romelu Lukaku,13,Left,"191cm / 6'3""",Belgium,192505
250,Gianluca Mancini,14,Right,"190cm / 6'3""",Italy,229582
251,John McGinn,19,Left,"178cm / 5'10""",Scotland,210881
252,Aleksandar Mitrović,16,Right,"189cm / 6'2""",Serbia,215716
253,Nahuel Molina,10,Right,"175cm / 5'9""",Argentina,233084
254,Savinho,2,Left,"176cm / 5'9""",Brazil,270409
255,Thomas Müller,3,Right,"185cm / 6'1""",Germany,189596
256,Darwin Núñez,6,Right,"187cm / 6'2""",Uruguay,253072
257,Michael Olise,3,Left,"184cm / 6'0""",France,247827
258,Oyarzabal,32,Left,"181cm / 5'11""",Spain,230142
259,Thomas Partey,4,Right,"185cm / 6'1""",Ghana,209989
260,Tijjani Reijnders,15,Right,"185cm / 6'1""",Holland,240638
261,Fabián Ruiz,5,Left,"189cm / 6'2""",Spain,226271
262,Brice Samba,55,Left,"187cm / 6'2""",France,204883
263,Sancet,23,Right,"188cm / 6'2""",Spain,244675
264,Jadon Sancho,28,Right,"180cm / 5'11""",England,233049
265,Fabian Schär,24,Right,"188cm / 6'2""",Switzerland,210047
266,Patrik Schick,11,Left,"191cm / 6'3""",Czech Republic,234236
267,Luke Shaw,17,Left,"181cm / 5'11""",England,205988
268,Malcom,16,Left,"172cm / 5'8""",Brazil,222737
269,Chris Smalling,56,Right,"194cm / 6'4""",England,189881
270,Alexander Sørloth,10,Left,"195cm / 6'5""",Norway,216549
271,Anderson Talisca,20,Left,"191cm / 6'3""",Brazil,212523
272,Luis Suárez,9,Right,"182cm / 6'0""",Uruguay,176580
273,Niklas Süle,12,Right,"195cm / 6'5""",Germany,212190
274,Kevin Trapp,57,Right,"189cm / 6'2""",Germany,188943
275,Destiny Udogie,18,Left,"186cm / 6'1""",Italy,259583
276,Dayot Upamecano,3,Right,"186cm / 6'1""",France,229558
277,Micky van de Ven,18,Left,"193cm / 6'4""",Holland,264453
278,Raphaël Varane,58,Right,"191cm / 6'3""",France,201535
279,Iñaki Williams,23,Right,"186cm / 6'1""",Ghana,216201
280,Luciano Acosta,59,Right,"161cm / 5'3""",Argentina,221634
281,Edson Álvarez,44,Right,"187cm / 6'2""",Mexico,235844
282,Yeray,23,Right,"182cm / 6'0""",Spain,227950
283,Waldemar Anton,12,Right,"189cm / 6'2""",Germany,229476
284,Alphonse Areola,44,Right,"195cm / 6'5""",France,193105
285,Marco Asensio,5,Left,"182cm / 6'0""",Spain,220834
286,Balde,8,Left,"175cm / 5'9""",Spain,263578
287,Rodrigo Bentancur,18,Right,"187cm / 6'2""",Uruguay,227535
288,Álex Berenguer,23,Right,"175cm / 5'9""",Spain,225201
289,Sergio Busquets,9,Right,"189cm / 6'2""",Spain,189511
290,Bryan Cristante,14,Right,"186cm / 6'1""",Italy,208268
291,Ricardo Horta,60,Right,"173cm / 5'8""",Portugal,213516
292,Rui Silva,47,Right,"191cm / 6'3""",Portugal,210385
293,Matteo Darmian,7,Right,"183cm / 6'0""",Italy,184392
294,Jonathan David,61,Right,"175cm / 5'9""",Canada,243630
295,Richarlison,18,Right,"184cm / 6'0""",Brazil,231943
296,Luuk de Jong,62,Right,"189cm / 6'2""",Holland,189805
297,Fred,37,Left,"169cm / 5'7""",Brazil,209297
298,Eberechi Eze,63,Right,"178cm / 5'10""",England,235794
299,Youssouf Fofana,15,Right,"185cm / 6'1""",France,245630
300,Davide Frattesi,7,Right,"178cm / 5'10""",Italy,239807
301,Remo Freuler,64,Right,"181cm / 5'11""",Switzerland,202024
302,Conor Gallagher,10,Right,"182cm / 6'0""",England,238216
303,Alexandr Golovin,65,Right,"178cm / 5'10""",Russia,225663
304,Pascal Groß,12,Right,"181cm / 5'11""",Germany,190765
305,Marc Guéhi,63,Right,"182cm / 6'0""",England,241159
306,Dávid Hancko,66,Left,"188cm / 6'2""",Slovakia,247103
307,Benjamin Henrichs,27,Right,"183cm / 6'0""",Germany,228579
308,Piero Hincapié,11,Left,"184cm / 6'0""",Ecuador,256197
309,Ferdi Kadıoğlu,67,Right,"174cm / 5'9""",Turkey,235152
310,Daichi Kamada,63,Right,"184cm / 6'0""",Japan,232730
311,Presnel Kimpembe,5,Left,"189cm / 6'2""",France,225850
312,Orkun Kökçü,36,Right,"175cm / 5'9""",Turkey,243245
313,Ezri Konsa,19,Right,"183cm / 6'0""",England,227678
314,Odilon Kossounou,50,Right,"191cm / 6'3""",Côte d'Ivoire,246875
315,Andrej Kramarić,49,Right,"177cm / 5'10""",Croatia,216354
316,Takefusa Kubo,32,Left,"173cm / 5'8""",Japan,237681
317,Ruben Loftus-Cheek,15,Right,"191cm / 6'3""",England,213666
318,Andriy Lunin,1,Right,"191cm / 6'3""",Ukraine,243952
319,Iñigo Martínez,8,Left,"182cm / 6'0""",Spain,204525
320,Noussair Mazraoui,17,Right,"183cm / 6'0""",Morocco,236401
321,Brais Méndez,32,Left,"187cm / 6'2""",Spain,235944
322,Alex Meret,13,Left,"192cm / 6'4""",Italy,225116
323,Arkadiusz Milik,22,Left,"186cm / 6'1""",Poland,205175
324,Kaoru Mitoma,67,Right,"178cm / 5'10""",Japan,255565
325,Fernando Muslera,40,Right,"190cm / 6'3""",Uruguay,182494
326,Riccardo Orsolini,64,Left,"183cm / 6'0""",Italy,233556
327,Stefan Ortega,2,Right,"185cm / 6'1""",Germany,200159
328,Nicolás Otamendi,36,Right,"183cm / 6'0""",Argentina,192366
329,Isi Palazón,68,Left,"169cm / 5'7""",Spain,232498
330,Aaron Ramsdale,69,Right,"191cm / 6'3""",England,233934
331,Marcus Rashford,17,Right,"186cm / 6'1""",England,231677
332,David Raum,27,Left,"180cm / 5'11""",Germany,236703
333,Stefan Savić,70,Right,"187cm / 6'2""",Montenegro,204639
334,Xaver Schlager,27,Left,"174cm / 5'9""",Austria,233195
335,Jerdy Schouten,62,Right,"185cm / 6'1""",Holland,235149
336,Ellyes Skhiri,57,Right,"185cm / 6'1""",Tunisia,225126
337,Milan Škriniar,5,Right,"188cm / 6'2""",Slovakia,232363
338,Dominic Solanke,18,Right,"187cm / 6'2""",England,225539
339,David Soria,71,Right,"192cm / 6'4""",Spain,223952
340,Raheem Sterling,4,Right,"172cm / 5'8""",England,202652
341,Dominik Szoboszlai,6,Right,"186cm / 6'1""",Hungary,236772
342,Youri Tielemans,19,Right,"176cm / 5'9""",Belgium,216393
343,Manuel Ugarte,17,Right,"182cm / 6'0""",Uruguay,253306
344,Deniz Undav,72,Right,"179cm / 5'10""",Germany,244176
345,Álvaro Valles,73,Right,"192cm / 6'4""",Spain,246657
346,Lucas Vázquez,1,Right,"173cm / 5'8""",Spain,208618
347,Joey Veerman,62,Right,"185cm / 6'1""",Holland,253109
348,Vivian,23,Right,"183cm / 6'0""",Spain,248550
349,Callum Wilson,24,Right,"180cm / 5'11""",England,196978
350,Lamine Yamal,8,Left,"180cm / 5'11""",Spain,277643
351,Wilfried Zaha,53,Right,"180cm / 5'11""",Côte d'Ivoire,198717
352,Piotr Zieliński,7,Right,"180cm / 5'11""",Poland,210406
353,Zubimendi,32,Right,"181cm / 5'11""",Spain,248148
354,Salem Al Dawsari,16,Right,"173cm / 5'8""",Saudi Arabia,210602
355,Ali Al Musrati,38,Right,"189cm / 6'2""",Libya,252308
356,Jordi Alba,9,Left,"170cm / 5'7""",Spain,189332
357,Toby Alderweireld,74,Right,"187cm / 6'2""",Belgium,184087
358,Joachim Andersen,54,Right,"192cm / 6'4""",Denmark,224221
359,Benjamin André,61,Right,"180cm / 5'11""",France,190674
360,Marko Arnautović,7,Right,"192cm / 6'4""",Austria,184200
361,Maximilian Arnold,75,Left,"184cm / 6'0""",Germany,206511
362,Fredrik Aursnes,36,Right,"179cm / 5'10""",Norway,231913
363,Simon Banza,60,Right,"189cm / 6'2""",Congo DR,231652
364,Roberto Firmino,25,Right,"181cm / 5'11""",Brazil,201942
365,Bradley Barcola,5,Right,"186cm / 6'1""",France,264652
366,Harvey Barnes,24,Right,"185cm / 6'1""",England,234742
367,Christoph Baumgartner,27,Right,"180cm / 5'11""",Austria,242187
368,Walter Benítez,62,Right,"191cm / 6'3""",Argentina,215223
369,Gonçalo Inácio,30,Left,"185cm / 6'1""",Portugal,257179
370,Yves Bissouma,18,Right,"182cm / 6'0""",Mali,236480
371,Daley Blind,45,Left,"180cm / 5'11""",Holland,190815
372,Denis Bouanga,39,Right,"180cm / 5'11""",Gabon,225951
373,Yan Couto,12,Right,"168cm / 5'6""",Brazil,259075
374,Alessandro Buongiorno,13,Left,"190cm / 6'3""",Italy,243241
375,Davide Calabria,15,Right,"177cm / 5'10""",Italy,228881
376,Lucas Chevalier,61,Right,"189cm / 6'2""",France,251752
377,Samuel Chukwueze,15,Left,"172cm / 5'8""",Nigeria,246172
378,Jonathan Clauss,76,Right,"178cm / 5'10""",France,239093
379,Kevin Danso,55,Right,"190cm / 6'3""",Austria,237985
380,Evanilson,77,Right,"181cm / 5'11""",Brazil,256612
381,De Marcos,23,Right,"182cm / 6'0""",Spain,190149
382,Michele Di Gregorio,22,Right,"187cm / 6'2""",Italy,235840
383,Eric Dier,3,Right,"191cm / 6'3""",England,202335
384,Jérémy Doku,2,Right,"173cm / 5'8""",Belgium,246420
385,Éderson,50,Right,"183cm / 6'0""",Brazil,266866
386,Wataru Endo,6,Right,"178cm / 5'10""",Japan,232487
387,Pervis Estupiñán,67,Left,"175cm / 5'9""",Ecuador,237942
388,Wladimiro Falcone,78,Right,"196cm / 6'5""",Italy,210676
389,João Félix,28,Right,"181cm / 5'11""",Portugal,242444
390,Suso,79,Left,"177cm / 5'10""",Spain,202651
391,Seko Fofana,80,Right,"185cm / 6'1""",Côte d'Ivoire,216320
392,Juan Foyth,41,Right,"187cm / 6'2""",Argentina,237221
393,Javi Galán,10,Left,"172cm / 5'8""",Spain,231591
394,Pepelu,26,Right,"186cm / 6'1""",Spain,230786
395,Nuno Santos,30,Left,"177cm / 5'10""",Portugal,227890
396,Joe Gomez,6,Right,"188cm / 6'2""",England,225100
397,Nicolás González,22,Left,"180cm / 5'11""",Argentina,240690
398,Mario Götze,57,Right,"176cm / 5'9""",Germany,192318
399,Vincenzo Grifo,52,Right,"180cm / 5'11""",Italy,212096
400,Nemanja Gudelj,79,Right,"187cm / 6'2""",Serbia,193198
401,Albert Guðmundsson,81,Right,"178cm / 5'10""",Iceland,238004
402,Mattéo Guendouzi,43,Right,"185cm / 6'1""",France,236496
403,Malo Gusto,28,Right,"178cm / 5'10""",France,259307
404,Miguel Gutiérrez,45,Left,"180cm / 5'11""",Spain,261865
405,Amadou Haidara,27,Right,"175cm / 5'9""",Mali,238463
406,Danilo Pereira,21,Right,"188cm / 6'2""",Portugal,200888
407,Jordan Henderson,82,Right,"187cm / 6'2""",England,183711
